,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Bud,US,39.447,-86.1758,75.69,82,7,12.21,clear sky
80,Taltal,CL,-25.4,-70.4833,58.01,65,69,2.68,broken clouds
81,Yunhe,CN,34.0833,119.7167,76.37,81,65,10.78,broken clouds
82,Pisco,PE,-13.7,-76.2167,56.01,88,59,6.91,mist
83,Mackay,AU,-21.15,149.2,64.38,77,90,8.05,overcast clouds
84,Vestmanna,FO,62.1564,-7.1664,52.72,82,35,10.36,scattered clouds
85,Labranzagrande,CO,5.5622,-72.575,62.92,97,97,3.56,moderate rain
86,Mahasamund,IN,21.1,82.1,93.16,48,79,2.71,heavy intensity rain
87,Novyy Yarychiv,UA,49.9044,24.3052,72.73,64,28,11.34,scattered clouds
88,North Battleford,CA,52.7834,-108.2847,57.29,94,1,5.75,clear sky
89,Birao,CF,10.2849,22.7882,97.14,33,97,6.2,overcast clouds
90,Mar Del Plata,AR,-38.0023,-57.5575,49.12,73,40,18.99,scattered clouds
91,Cockburn Town,TC,21.4612,-71.1419,80.6,77,2,11.01,clear sky
92,Naranjito,EC,-2.2167,-79.4833,71.42,97,33,1.21,scattered clouds
93,Khatanga,RU,71.9667,102.5,55.27,40,100,15.97,overcast clouds
94,Cabo San Lucas,MX,22.8909,-109.9124,85.3,61,19,4.0,few clouds
95,Mehamn,NO,71.0357,27.8492,51.76,77,90,9.17,overcast clouds
96,Saint-Joseph,RE,-21.3667,55.6167,77.47,77,25,3.62,light rain
97,Faanui,PF,-16.4833,-151.75,79.3,80,51,8.86,light rain
98,Tilichiki,RU,60.4667,166.1,46.15,84,82,4.99,broken clouds
99,Victoria,HK,22.2855,114.1577,86.38,87,100,1.01,light rain
100,Shu,KZ,43.5983,73.7614,94.17,12,3,12.66,clear sky
101,Torbay,CA,47.6666,-52.7314,64.89,86,90,17.27,overcast clouds
102,Chuy,UY,-33.6971,-53.4616,50.29,84,100,15.7,overcast clouds
103,Onalaska,US,43.8844,-91.2351,64.33,96,90,5.75,overcast clouds
104,Kahului,US,20.8947,-156.47,77.85,78,1,4.61,clear sky
105,Bismarck,US,46.8083,-100.7837,60.82,93,20,3.0,few clouds
106,Uniontown,US,39.9001,-79.7164,72.7,56,100,4.56,overcast clouds
107,Portland,US,45.5234,-122.6762,79.16,74,0,1.01,clear sky
108,Hailey,US,43.5196,-114.3153,57.06,62,1,5.75,clear sky
109,Airai,TL,-8.9266,125.4092,59.65,94,80,4.05,broken clouds
110,New Norfolk,AU,-42.7826,147.0587,47.71,72,71,3.0,broken clouds
111,Kodiak,US,57.79,-152.4072,47.43,96,49,7.11,scattered clouds
112,Songling,CN,31.1933,120.7176,78.78,95,100,6.64,light rain
113,Murgab,TM,37.4966,61.9714,100.27,13,0,9.22,clear sky
114,Dunedin,NZ,-45.8742,170.5036,47.8,72,19,1.01,light rain
115,Honiara,SB,-9.4333,159.95,77.4,88,98,7.18,overcast clouds
